@@,item,itemlabel,startdate,enddate
->,Q6062879,Ion Bazac,2008-12-22,2009-10-02->2009-10-01
->,Q5406958,Eugen Nicolăescu,2007-04-05->2005-08-22,2008-12-22
->,Q5406958,Eugen Nicolăescu,2012-12-21,2014-03-05->2014-02-26
->,Q18538986,Mircea Cinteză,2004-12-29->2004-12-28,2005-08-22
->,Q1159059,Dan Enăchescu,1990-01-08->1989-12-26,1990-06-28
---,Q19062,Raed Arafat,2012-11-07,2012-12-22
+++,Q929248,Dacian Cioloș,2016-05-09,2016-05-20
+++,Q853537,Francisc Bárányi,1998-04-17,1998-06-24
+++,Q7911419,Valeriu Stoica,1998-06-24,1998-07-10
+++,Q57692,Victor Ponta,2012-10-02,2012-11-08
+++,Q28035183,Florin Cîțu,2021-04-14,2021-04-21
+++,Q2016394,Adrian Videanu,2009-10-01,2009-12-23
+++,Q19062,Raed Arafat,2012-10-01,2012-10-02
+++,Q19062,Raed Arafat,2012-11-08,2012-12-21
+++,Q18543784,Ovidiu Brânzan,2003-11-27,2004-12-28
+++,Q18541708,Bogdan Marinescu,1990-06-28,1991-10-16
+++,Q18538307,Ion Victor Bruckner,1997-12-05,1998-04-17
+++,Q18538108,Ionel Blănculescu,2003-10-20,2003-11-27
+++,Q18325107,Nicolae Bănicioiu,2014-02-26,2014-03-05
+++,Q16593198,Daniela Bartoș,2000-12-28,2003-06-19
+++,Q16593198,Daniela Bartoș,1996-08-23,1996-12-12
+++,Q12744288,Ștefan Drăgulescu,1996-12-12,1997-12-05
+++,Q12735673,Mircea Beuran,2003-06-19,2003-10-20
+++,"",Gábor Hajdu,1998-07-10,2000-12-28
+++,,Mircea Maiorescu,1991-10-16,1992-11-19
