ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q18539380,Crețulescu Cabinet,,,,,,,,,,,,,,,,
,Q18540015,1st Epureanu (Iași) Cabinet,,,,,,,,,,,,,,,,
,Q18540463,Q18540463,,,,,,,,,,,,,,,,
,Q18540495,Q18540495,,,,,,,,,,,,,,,,
,Q18540530,Q18540530,,,,,,,,,,,,,,,,
,Q18542083,Q18542083,,,,,,,,,,,,,,,,
,Q18542320,Q18542320,,,,,,,,,,,,,,,,
,Q18544255,Q18544255,,,,,,,,,,,,,,,,
,Q18548182,Q18548182,,,,,,,,,,,,,,,,
,Q12729745,Q12729745,1859-01-17,11,,,1859-03-06,11,,,,,,,,,,
,Q12729703,Q12729703,1859-01-25,11,,,1859-03-27,11,,,,,,,,,,
,Q12729682,Q12729682,1859-03-27,11,,,1859-09-06,11,,,,,,,,,,
,Q12729733,Q12729733,1859-09-06,11,,,1859-10-11,11,,,,,,,,,,
,Q12729715,Ion Ghica Government,1859-10-11,11,,,1860-05-28,11,,,,,,,,,,
,Q18540016,2nd Epureanu (Iași) Cabinet,1859-11-10,11,,,1860-04-03,11,,,,,,,,,,
,Q12729728,Q12729728,1860-04-30,11,,,1861-01-17,11,,,,,,,,,,
,Q12729734,Q12729734,1860-05-28,11,,,1860-07-13,11,,,,,,,,,,
,Q12729727,Q12729727,1860-07-13,11,,,1861-04-30,11,,,,,,,,,,
,Q12729674,Q12729674,1861-01-17,11,,,1861-09-23,11,,,,,,,,,,
,Q12729678,Q12729678,1861-04-30,11,,,1861-05-12,11,,,,,,,,,,
,Q18540462,Ghica Cabinet,1861-07-19,11,,,1862-01-22,11,,,,,,,,,,
,Q12729677,Barbu Catargiu cabinet,1862-01-01,9,,,1862-06-24,11,,,,,,,,,,
,Q12729732,First Nicolae Crețulescu cabinet,1862-06-24,11,,,1863-10-11,11,,,,,,,,,,
,Q18541200,Kogălniceanu cabinet,1863-10-11,11,,,1865-01-26,11,,,,,,,,,,
,Q18538194,Bosianu cabinet,1865-06-14,11,,,1865-01-01,9,,,,,,,,,,
,Q12729713,Ion Ghica government (1),1866-02-11,11,,,1866-05-10,11,,,,,,,,,,
,Q6456394,L. Catargiu I Cabinet,1866-05-11,11,,,1866-07-13,11,,,,,,,,,,
,Q18540460,Second Ion Ghica cabinet,1866-07-15,11,,,1867-02-21,11,,,,,,,,,,
,Q12729680,Constantine Crețulescu cabinet,1867-03-01,11,,,1867-08-05,11,,,,,,,,,,
,Q8082376,Ștefan Golescu Cabinet,1867-08-17,11,1867-01-01,9,1868-04-29,11,1868-01-01,9,,,,,,,,
,Q18540531,Nicolae Golescu cabinet,1868-05-01,11,,,1868-11-15,11,,,,,,,,,,
,Q12729689,Dimitrie Ghica cabinet,1868-11-16,11,,,1870-01-27,11,,,,,,,,,,
,Q12729660,Alexandru Golescu cabinet,1870-02-02,11,,,1870-04-18,11,,,,,,,,,,
,Q12729726,Q12729726,1870-04-20,11,,,1870-12-14,11,,,,,,,,,,
,Q18540461,Third Ion Ghica cabinet,1870-12-18,11,,,1871-03-11,11,,,,,,,,,,
